epoch,accuracy,loss,val_accuracy,val_loss
0,0.9620853066444397,0.11339637637138367,0.9119170904159546,0.3750210106372833
1,0.9900904893875122,0.03658386319875717,0.9412780404090881,0.22804568707942963
2,0.9931064248085022,0.02048761397600174,0.9550949931144714,0.21416175365447998
3,0.9913830161094666,0.023092612624168396,0.9222797751426697,0.4299204647541046
4,0.9931064248085022,0.020092647522687912,0.9637305736541748,0.24415931105613708
5,0.9952606558799744,0.024380085989832878,0.9550949931144714,0.27659711241722107
6,0.9965531826019287,0.016440654173493385,0.9481865167617798,0.2854076325893402
7,0.99698406457901,0.011017967946827412,0.9084628820419312,0.4554422199726105
8,0.9982765913009644,0.005723139736801386,0.951640784740448,0.2895374596118927
9,0.9974148869514465,0.01534363254904747,0.9015544056892395,0.5538872480392456
